Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,8/5/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,8/5/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,8/5/2015,19
Cumulative number of probable Ebola cases,Nigeria,8/5/2015,1
Cumulative number of suspected Ebola cases,Nigeria,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/5/2015,20
Cumulative number of confirmed Ebola cases,Senegal,8/5/2015,1
Cumulative number of probable Ebola cases,Senegal,8/5/2015,0
Cumulative number of suspected Ebola cases,Senegal,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,8/5/2015,1
Cumulative number of confirmed Ebola cases,Spain,8/5/2015,1
Cumulative number of probable Ebola cases,Spain,8/5/2015,0
Cumulative number of suspected Ebola cases,Spain,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,8/5/2015,1
Cumulative number of confirmed Ebola cases,United States of America,8/5/2015,4
Cumulative number of probable Ebola cases,United States of America,8/5/2015,0
Cumulative number of suspected Ebola cases,United States of America,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,8/5/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,8/5/2015,7
Cumulative number of probable Ebola deaths,Nigeria,8/5/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/5/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,8/5/2015,0
Cumulative number of probable Ebola deaths,Senegal,8/5/2015,0
Cumulative number of suspected Ebola deaths,Senegal,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,8/5/2015,0
Cumulative number of confirmed Ebola deaths,Spain,8/5/2015,0
Cumulative number of probable Ebola deaths,Spain,8/5/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/5/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/5/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/5/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/5/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/5/2015,1
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/6/2015,3585
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/6/2015,4806
Cumulative number of probable Ebola deaths,Sierra Leone,8/6/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,8/6/2015,158
Cumulative number of probable Ebola cases,Sierra Leone,8/6/2015,287
Cumulative number of suspected Ebola cases,Guinea,8/6/2015,11
Cumulative number of confirmed Ebola cases,Guinea,8/6/2015,3329
Cumulative number of probable Ebola cases,Liberia,8/6/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/6/2015,10666
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/6/2015,3951
Cumulative number of probable Ebola deaths,Guinea,8/6/2015,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/6/2015,13426
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/6/2015,2524
Cumulative number of confirmed Ebola deaths,Guinea,8/6/2015,2072
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/6/2015,3792
Cumulative number of confirmed Ebola cases,Liberia,8/6/2015,3151
Cumulative number of suspected Ebola cases,Sierra Leone,8/6/2015,4443
Cumulative number of confirmed Ebola cases,Sierra Leone,8/6/2015,8696
Cumulative number of probable Ebola cases,Guinea,8/6/2015,452
Cumulative number of suspected Ebola cases,Liberia,8/6/2015,5636
Cumulative number of confirmed Ebola cases,Liberia 2,8/6/2015,6
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/6/2015,2
Cumulative number of confirmed Ebola deaths,Liberia 2,8/6/2015,2
Cumulative number of probable Ebola cases,Liberia 2,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/6/2015,6
Cumulative number of confirmed Ebola cases,Italy,8/6/2015,1
Cumulative number of probable Ebola cases,Italy,8/6/2015,0
Cumulative number of suspected Ebola cases,Italy,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/6/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/6/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/6/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,8/6/2015,1
Cumulative number of confirmed Ebola cases,Mali,8/6/2015,7
Cumulative number of probable Ebola cases,Mali,8/6/2015,1
Cumulative number of suspected Ebola cases,Mali,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,8/6/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,8/6/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,8/6/2015,19
Cumulative number of probable Ebola cases,Nigeria,8/6/2015,1
Cumulative number of suspected Ebola cases,Nigeria,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/6/2015,20
Cumulative number of confirmed Ebola cases,Senegal,8/6/2015,1
Cumulative number of probable Ebola cases,Senegal,8/6/2015,0
Cumulative number of suspected Ebola cases,Senegal,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,8/6/2015,1
Cumulative number of confirmed Ebola cases,Spain,8/6/2015,1
Cumulative number of probable Ebola cases,Spain,8/6/2015,0
Cumulative number of suspected Ebola cases,Spain,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,8/6/2015,1
Cumulative number of confirmed Ebola cases,United States of America,8/6/2015,4
Cumulative number of probable Ebola cases,United States of America,8/6/2015,0
Cumulative number of suspected Ebola cases,United States of America,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,8/6/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,8/6/2015,7
Cumulative number of probable Ebola deaths,Nigeria,8/6/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/6/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,8/6/2015,0
Cumulative number of probable Ebola deaths,Senegal,8/6/2015,0
Cumulative number of suspected Ebola deaths,Senegal,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,8/6/2015,0
Cumulative number of confirmed Ebola deaths,Spain,8/6/2015,0
Cumulative number of probable Ebola deaths,Spain,8/6/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/6/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/6/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/6/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/6/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/6/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/7/2015,3795
Cumulative number of suspected Ebola deaths,Sierra Leone,8/7/2015,158
Cumulative number of confirmed Ebola cases,Liberia,8/7/2015,3151
Cumulative number of probable Ebola deaths,Guinea,8/7/2015,452
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/7/2015,13428
Cumulative number of confirmed Ebola cases,Sierra Leone,8/7/2015,8696
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/7/2015,10666
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/7/2015,3585
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/7/2015,2524
Cumulative number of suspected Ebola cases,Sierra Leone,8/7/2015,4445
Cumulative number of probable Ebola cases,Guinea,8/7/2015,452
Cumulative number of suspected Ebola cases,Liberia,8/7/2015,5636
Cumulative number of suspected Ebola cases,Guinea,8/7/2015,14
Cumulative number of probable Ebola cases,Sierra Leone,8/7/2015,287
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/7/2015,4806
Cumulative number of confirmed Ebola cases,Guinea,8/7/2015,3329
Cumulative number of probable Ebola cases,Liberia,8/7/2015,1879
Cumulative number of probable Ebola deaths,Sierra Leone,8/7/2015,208
Cumulative number of confirmed Ebola deaths,Guinea,8/7/2015,2072
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/7/2015,3951
Cumulative number of confirmed Ebola cases,Liberia 2,8/7/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/7/2015,6
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/7/2015,2
Cumulative number of probable Ebola cases,Liberia 2,8/7/2015,0
Cumulative number of confirmed Ebola deaths,Liberia 2,8/7/2015,2
Cumulative number of confirmed Ebola cases,Italy,8/7/2015,1
Cumulative number of probable Ebola cases,Italy,8/7/2015,0
Cumulative number of suspected Ebola cases,Italy,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/7/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/7/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/7/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,8/7/2015,1
Cumulative number of confirmed Ebola cases,Mali,8/7/2015,7
Cumulative number of probable Ebola cases,Mali,8/7/2015,1
Cumulative number of suspected Ebola cases,Mali,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,8/7/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,8/7/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,8/7/2015,19
Cumulative number of probable Ebola cases,Nigeria,8/7/2015,1
Cumulative number of suspected Ebola cases,Nigeria,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,8/7/2015,20
Cumulative number of confirmed Ebola cases,Senegal,8/7/2015,1
Cumulative number of probable Ebola cases,Senegal,8/7/2015,0
Cumulative number of suspected Ebola cases,Senegal,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,8/7/2015,1
Cumulative number of confirmed Ebola cases,Spain,8/7/2015,1
Cumulative number of probable Ebola cases,Spain,8/7/2015,0
Cumulative number of suspected Ebola cases,Spain,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,8/7/2015,1
Cumulative number of confirmed Ebola cases,United States of America,8/7/2015,4
Cumulative number of probable Ebola cases,United States of America,8/7/2015,0
Cumulative number of suspected Ebola cases,United States of America,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,8/7/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,8/7/2015,7
Cumulative number of probable Ebola deaths,Nigeria,8/7/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,8/7/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,8/7/2015,0
Cumulative number of probable Ebola deaths,Senegal,8/7/2015,0
Cumulative number of suspected Ebola deaths,Senegal,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,8/7/2015,0
Cumulative number of confirmed Ebola deaths,Spain,8/7/2015,0
Cumulative number of probable Ebola deaths,Spain,8/7/2015,0
Cumulative number of suspected Ebola deaths,Spain,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,8/7/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,8/7/2015,1
Cumulative number of probable Ebola deaths,United States of America,8/7/2015,0
Cumulative number of suspected Ebola deaths,United States of America,8/7/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,8/7/2015,1
Cumulative number of probable Ebola cases,Sierra Leone,8/10/2015,287
Cumulative number of confirmed Ebola cases,Liberia,8/10/2015,3151
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,8/10/2015,13465
Cumulative number of suspected Ebola cases,Sierra Leone,8/10/2015,4481
Cumulative number of probable Ebola cases,Liberia,8/10/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,8/10/2015,10666
Cumulative number of confirmed Ebola cases,Sierra Leone,8/10/2015,8697
Cumulative number of suspected Ebola cases,Guinea,8/10/2015,10
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,8/10/2015,4806
Cumulative number of probable Ebola deaths,Sierra Leone,8/10/2015,208
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,8/10/2015,3951
Cumulative number of confirmed Ebola deaths,Guinea,8/10/2015,2072
Cumulative number of probable Ebola deaths,Guinea,8/10/2015,452
Cumulative number of confirmed Ebola deaths,Sierra Leone,8/10/2015,3585
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,8/10/2015,2524
Cumulative number of suspected Ebola deaths,Sierra Leone,8/10/2015,158
Cumulative number of suspected Ebola cases,Liberia,8/10/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,8/10/2015,3791
Cumulative number of confirmed Ebola cases,Guinea,8/10/2015,3329
Cumulative number of probable Ebola cases,Guinea,8/10/2015,452
Cumulative number of confirmed Ebola deaths,Liberia 2,8/10/2015,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,8/10/2015,2
Cumulative number of probable Ebola cases,Liberia 2,8/10/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,8/10/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,8/10/2015,6
Cumulative number of confirmed Ebola cases,Italy,8/10/2015,1
Cumulative number of probable Ebola cases,Italy,8/10/2015,0
Cumulative number of suspected Ebola cases,Italy,8/10/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,8/10/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,8/10/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,8/10/2015,1
Cumulative number of probable Ebola cases,United Kingdom,8/10/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,8/10/2015,0
